field_1,MonitoringLocationIdentifier,lat,lon
"12781",21PA_WQX-JUNPOINT6,40.4503,-77.9731
"14799",42SRBCWQ_WQX-SUSQ077.0-4076,40.3358333,-76.9125
"14798",42SRBCWQ_WQX-SUSQ057.0-4076,40.1177778,-76.7125
"18444",MDE_FIELDSERVICES_WQX-XKG9795,39.664683,-76.181117
"13143",21PA_WQX-WQN0201,40.0286,-76.5167
"18445",MDE_FIELDSERVICES_WQX-XLG1670,39.69415,-76.216183
"18447",MDE_FIELDSERVICES_WQX-XLG4657,39.7437,-76.239167
"18446",MDE_FIELDSERVICES_WQX-XLG3360,39.721283,-76.233183
"18448",MDE_FIELDSERVICES_WQX-XLG5847,39.763633,-76.255833
"18449",MDE_FIELDSERVICES_WQX-XLG7036,39.783967,-76.272733
"18108",MDE_FIELDSERVICES_WQX-POT2766,39.5385,-78.45565
"18107",MDE_FIELDSERVICES_WQX-POT2386,39.694833,-78.186483
"18106",MDE_FIELDSERVICES_WQX-POT1830,39.436483,-77.80175
"23349",USGS-01618000,39.4347222,-77.8013889
"23391",USGS-0163062888,38.8524222,-78.3091306
"18221",MDE_FIELDSERVICES_WQX-SFF0519,38.646217,-78.534733
"23386",USGS-01629500,38.6462305,-78.5347329
"23385",USGS-01628903,38.3969444,-78.6241944
"23393",USGS-01631000,38.9140006,-78.2108339
"18220",MDE_FIELDSERVICES_WQX-SFF0035,38.914017,-78.210817
"23447",USGS-01636500,39.2820458,-77.7891606
"23534",USGS-01646580,38.9295555,-77.1169232
"23536",USGS-01647595,38.9023338,-77.0694221
"23661",USGS-02024752,37.5554152,-79.3672547
"23667",USGS-02037618,37.5315358,-77.4833181
"23687",USGS-02041650,37.2251505,-77.475263
"23777",USGS-02067000,36.8381967,-78.6669473
"23781",USGS-02075500,36.6423606,-79.089459
"23814",USGS-0208114150,35.915,-76.7227778
"23813",USGS-0208113400,35.9121639,-76.817775
"23812",USGS-0208109425,35.8777778,-76.8380556
"23841",USGS-02084000,35.6166667,-77.3727778
"23938",USGS-02087570,35.5125,-78.3494444
"23937",USGS-02087500,35.6472222,-78.4052778
"23935",USGS-02087396,35.7268188,-78.5138908
"23960",USGS-02089000,35.3375,-77.9975
"24026",USGS-02091814,35.3138889,-77.3027778
"24027",USGS-0209181400,35.3121069,-77.3024588
"23969",USGS-02089500,35.2577778,-77.5855556
"23977",USGS-02089658,35.2957191,-77.4963541
"24073",USGS-02098198,35.6494444,-79.0655556
"24058",USGS-02096960,35.7652778,-79.1358333
"24090",USGS-02102000,35.6269444,-79.1161111
"24089",USGS-0210140200,35.5195936,-79.3472445
"24101",USGS-02105769,34.4044444,-78.2936111
"24152",USGS-02116500,35.8566667,-80.3869444
"13819",21SC60WQ_WQX-PD-337,34.2035714,-79.5492701
"24165",USGS-02131000,34.2043252,-79.5483896
"13875",21SC60WQ_WQX-RS-02471,34.490347,-79.72306
"13725",21SC60WQ_WQX-PD-015,34.5253165,-79.8332632
"13761",21SC60WQ_WQX-PD-076,33.9032794,-79.4362842
"14028",21SC60WQ_WQX-RS-08237,33.9440734,-79.4869669
"24163",USGS-02129000,34.9458333,-79.8697222
"13723",21SC60WQ_WQX-PD-012,34.7087331,-79.8751436
"13733",21SC60WQ_WQX-PD-028,34.3569001,-79.6932187
"14120",21SC60WQ_WQX-RS-13151,33.5484233,-79.3604233
"13784",21SC60WQ_WQX-PD-170,33.5470301,-79.401061
"13710",21SC60WQ_WQX-MD-137,33.6016797,-79.0942344
"13713",21SC60WQ_WQX-MD-146,33.6584583,-79.0818413
"13703",21SC60WQ_WQX-MD-111,33.7956167,-79.0537625
"13711",21SC60WQ_WQX-MD-138,33.5622276,-79.0880862
"13712",21SC60WQ_WQX-MD-145,33.719689,-79.0518779
"13709",21SC60WQ_WQX-MD-136,33.6726089,-79.0675173
"13702",21SC60WQ_WQX-MD-110,33.8180143,-79.0440055
"13913",21SC60WQ_WQX-RS-04369,33.3704449,-79.4498129
"13977",21SC60WQ_WQX-RS-06157,33.7174954,-79.2870785
"13919",21SC60WQ_WQX-RS-04377,33.717541,-79.2870697
"13750",21SC60WQ_WQX-PD-060,33.69889,-79.2495533
"13751",21SC60WQ_WQX-PD-061,33.6603106,-79.1544724
"24171",USGS-02135200,33.6610024,-79.1544874
"24182",USGS-0214264900,35.3640266,-80.974519
"24181",USGS-0214264800,35.4276365,-80.9564638
"24190",USGS-0214267200,35.3504158,-80.9722966
"13578",21SC60WQ_WQX-CW-016,34.7083234,-80.8675614
"13587",21SC60WQ_WQX-CW-041,34.854082,-80.86767
"13577",21SC60WQ_WQX-CW-014,34.9857807,-80.9742806
"13580",21SC60WQ_WQX-CW-019,34.2456872,-80.653096
"13616",21SC60WQ_WQX-CW-222,33.7518576,-80.6108485
"13613",21SC60WQ_WQX-CW-206,33.9469718,-80.6284607
"13404",21SC60WQ_WQX-B-044,34.937534,-81.4799653
"13403",21SC60WQ_WQX-B-042,35.1241466,-81.5875099
"13453",21SC60WQ_WQX-B-236,34.2513396,-81.3254977
"13406",21SC60WQ_WQX-B-047,34.3941234,-81.3965239
"13484",21SC60WQ_WQX-B-351,34.5723353,-81.4226637
"13405",21SC60WQ_WQX-B-046,34.595079,-81.4199782
"13480",21SC60WQ_WQX-B-337,34.0259147,-81.068958
"24246",USGS-02169000,34.0140416,-81.0878717
"14177",21SC60WQ_WQX-S-298,34.0138551,-81.0878092
"14158",21SC60WQ_WQX-S-149,34.045524,-81.1674288
"14160",21SC60WQ_WQX-S-152,34.0531935,-81.2158491
"14137",21SC60WQ_WQX-S-047,34.1839274,-81.7260926
"14175",21SC60WQ_WQX-S-295,34.174498,-81.8643231
"14163",21SC60WQ_WQX-S-186,34.1673964,-81.9076883
"14156",21SC60WQ_WQX-S-125,34.391704,-82.2236554
"14154",21SC60WQ_WQX-S-119,34.5972026,-82.4283774
"13527",21SC60WQ_WQX-C-074,33.809074,-80.8670434
"13512",21SC60WQ_WQX-C-007,33.7529414,-80.6450214
"24247",USGS-02169500,33.9932098,-81.049815
"14197",21SC60WQ_WQX-ST-001,33.3046014,-79.6783189
"14201",21SC60WQ_WQX-ST-016,33.4940193,-79.9611164
"13547",21SC60WQ_WQX-CSTL-085,33.0989846,-79.953774
"13540",21SC60WQ_WQX-CSTL-062,33.2149237,-79.9751437
"24259",USGS-02172002,33.2151693,-79.9745248
"14122",21SC60WQ_WQX-RS-13159,32.9659957,-80.4181127
"13961",21SC60WQ_WQX-RS-05584,32.9999891,-80.4048321
"13653",21SC60WQ_WQX-E-015,33.0275406,-80.3925714
"24282",USGS-02175000,33.0279465,-80.3914876
"13705",21SC60WQ_WQX-MD-119,32.764497,-80.4456331
"24294",USGS-02177000,34.8139814,-83.305993
"4510",21GAEPD_WQX-RV_01_66,34.814,-83.3064
"14234",21SC60WQ_WQX-SV-199,34.81406,-83.3059462
"14264",21SC60WQ_WQX-SV-346,34.3832888,-82.5769743
"4464",21GAEPD_WQX-RV_01_25,34.2556,-82.745
"24306",USGS-02187303,34.3242727,-82.7912476
"4458",21GAEPD_WQX-RV_01_24,34.3242,-82.7914
"4506",21GAEPD_WQX-RV_01_62,33.6375,-82.5956
"24329",USGS-02193560,33.6084654,-82.6484688
"4504",21GAEPD_WQX-RV_01_60,33.6083,-82.6486
"4533",21GAEPD_WQX-RV_01_94,33.0433,-81.5567
"24364",USGS-02197375,33.0437653,-81.5562202
"4532",21GAEPD_WQX-RV_01_93,33.2203,-81.7731
"4526",21GAEPD_WQX-RV_01_86,33.3711,-81.9369
"14250",21SC60WQ_WQX-SV-323,33.3714322,-81.9444347
"24348",USGS-02197000,33.3725278,-81.9420833
"24346",USGS-02196993,33.371252,-81.936782
"4518",21GAEPD_WQX-RV_01_77,33.4767,-81.9581
"14245",21SC60WQ_WQX-SV-251,33.4760749,-81.9551922
"4519",21GAEPD_WQX-RV_01_78,33.4753,-81.9546
"24334",USGS-02196670,33.4793333,-81.9633889
"4513",21GAEPD_WQX-RV_01_72,33.5928,-82.1233
"4527",21GAEPD_WQX-RV_01_87,33.3306,-81.9153
"24361",USGS-02197065,33.330698,-81.9151153
"14278",21SC60WQ_WQX-SV-366,33.278079,-81.8444714
"4534",21GAEPD_WQX-RV_01_96,32.9389,-81.5028
"14222",21SC60WQ_WQX-SV-118,32.9379911,-81.5021198
"14282",21SC60WQ_WQX-SV-370,32.3826966,-81.1793649
"24377",USGS-02198500,32.5285556,-81.2683333
"14273",21SC60WQ_WQX-SV-355,32.5569778,-81.2819522
"24384",USGS-0219897998,32.039657,-80.9228888
"4394",21GAEPD_WQX-RV_01_109,32.525,-81.264
"24380",USGS-02198975,32.0957621,-81.1067787
"4592",21GAEPD_WQX-RV_02_310,31.9782,-81.2887
"24526",USGS-02218300,33.7206944,-83.2956111
"4696",21GAEPD_WQX-RV_03_503,33.7211,-83.2956
"24525",USGS-02218000,33.8559517,-83.3265462
"4695",21GAEPD_WQX-RV_03_502,33.8562,-83.3265
"24517",USGS-02217569,33.8903949,-83.3765474
"4752",21GAEPD_WQX-RV_03_591,33.8906,-83.3766
"4719",21GAEPD_WQX-RV_03_539,33.3347,-83.1439
"24569",USGS-02224500,32.1909167,-82.6310278
"4789",21GAEPD_WQX-RV_03_654,32.1912,-82.6313
"4788",21GAEPD_WQX-RV_03_653,32.295,-82.6969
"24568",USGS-02224310,32.2951752,-82.6968023
"4785",21GAEPD_WQX-RV_03_650,32.3953,-82.7985
"24560",USGS-02223600,32.4801685,-82.8581969
"4776",21GAEPD_WQX-RV_03_640,32.4804,-82.8582
"4778",21GAEPD_WQX-RV_03_642,32.5194,-82.8853
"4779",21GAEPD_WQX-RV_03_643,32.4916,-82.8683
"4777",21GAEPD_WQX-RV_03_641,32.5602,-82.8798
"24558",USGS-02223250,32.7818243,-82.9581998
"4771",21GAEPD_WQX-RV_03_635,32.7817,-82.9582
"4761",21GAEPD_WQX-RV_03_606,33.0292,-83.19
"24551",USGS-02223000,33.0901667,-83.2147778
"4760",21GAEPD_WQX-RV_03_603,33.0828,-83.2142
"4772",21GAEPD_WQX-RV_03_636,32.698,-82.9403
"4794",21GAEPD_WQX-RV_03_660,31.9808,-82.5461
"24475",USGS-02213700,32.6715317,-83.6029603
"4958",21GAEPD_WQX-RV_05_2176,32.6718,-83.6029
"4372",21GAEPD_WQX-0503160204,32.838611,-83.620556
"24470",USGS-02212940,32.8991667,-83.6641667
"797",11NPSWRD_WQX-OCMU_FRUS_1,32.8962222,-83.6622778
"4953",21GAEPD_WQX-RV_05_2165,32.8992,-83.6641
"4371",21GAEPD_WQX-0503100604,33.1591,-83.8241
"5003",21GAEPD_WQX-RV_05_2240,33.1591,-83.8241
"4926",21GAEPD_WQX-RV_05_2094,33.3203,-83.8419
"24471",USGS-02212950,32.8698606,-83.6540686
"4954",21GAEPD_WQX-RV_05_2167,32.8697,-83.6542
"4875",21GAEPD_WQX-RV_04_854,33.3953,-83.8939
"4986",21GAEPD_WQX-RV_05_2223,31.9199,-82.6743
"24489",USGS-02215500,31.9199167,-82.6740556
"4380",21GAEPD_WQX-0504080601,31.919933,-82.674267
"4379",21GAEPD_WQX-0504080401,31.7925,-82.98
"4985",21GAEPD_WQX-RV_05_2222,31.7925,-82.98
"4377",21GAEPD_WQX-0504050701,31.996389,-83.278611
"4980",21GAEPD_WQX-RV_05_2215,31.9964,-83.2786
"24480",USGS-02215000,32.2827778,-83.4623889
"4375",21GAEPD_WQX-0504030101,32.281759,-83.462773
"4972",21GAEPD_WQX-RV_05_2203,32.2818,-83.4628
"4373",21GAEPD_WQX-0504010701,32.5425,-83.536944
"4963",21GAEPD_WQX-RV_05_2185,32.5425,-83.5369
"5052",21GAEPD_WQX-RV_06_2852,31.4269,-81.6056
"24587",USGS-02226160,31.4268611,-81.6051111
"5053",21GAEPD_WQX-RV_06_2853,31.4915,-81.6438
"5022",21GAEPD_WQX-RV_06_15207,31.6669,-81.8454
"5041",21GAEPD_WQX-RV_06_2840,31.8539,-82.0942
"5035",21GAEPD_WQX-RV_06_2834,31.9575,-82.5172
"5046",21GAEPD_WQX-RV_06_2846,31.6233,-81.7653
"24585",USGS-02226010,31.6235496,-81.7651135
"5045",21GAEPD_WQX-RV_06_2844,31.6664,-81.8386
"5039",21GAEPD_WQX-RV_06_2838,31.9389,-82.3569
