"","MonitoringLocationIdentifier","lat","lon"
"205","1119USBR_WQX-GRR170",45.1915556,-117.8298333
"206","1119USBR_WQX-GRR172",45.21425,-117.8978611
"207","1119USBR_WQX-GRR173",45.4930555,-118.0041666
"208","1119USBR_WQX-GRR175",45.2997778,-117.8649444
"209","1119USBR_WQX-GRR176",45.3842778,-117.9283889
"210","1119USBR_WQX-GRR177",45.3898889,-117.8869444
"211","1119USBR_WQX-GRR179",45.3004722,-117.89
"212","1119USBR_WQX-GRR180",45.3064722,-117.8820556
"213","1119USBR_WQX-GRR181",45.2824444,-117.9598611
"214","1119USBR_WQX-GRR184",45.3550278,-117.8405833
"215","1119USBR_WQX-GRR185",45.2686633,-118.525429
"216","1119USBR_WQX-GRR188",45.2671444,-118.346875
"217","1119USBR_WQX-GRR190",45.0720486,-118.3161764
"218","1119USBR_WQX-GRR192",45.2105,-118.3927694
"219","1119USBR_WQX-GRR194",45.3014322,-118.31358
"220","1119USBR_WQX-GRR196",45.1200333,-117.6473652
"221","1119USBR_WQX-HUN002",48.341,-114.008
"222","1119USBR_WQX-HUN101",48.35666,-114.0377
"223","1119USBR_WQX-ISL101",44.4197222,-111.3972222
"224","1119USBR_WQX-ISL102",44.5011111,-111.335
"225","1119USBR_WQX-JAC101",43.8591667,-110.5897222
"226","1119USBR_WQX-LMH101",44.7396111,-113.4604444
"227","1119USBR_WQX-LMH102",44.8517222,-113.6180833
"228","1119USBR_WQX-LMH103",44.9400278,-113.63825
"229","1119USBR_WQX-LMH104",44.9583333,-113.6583333
"230","1119USBR_WQX-LMH105",45.1152778,-113.7902778
"231","1119USBR_WQX-LMH106",44.875,-113.625
"232","1119USBR_WQX-LMH109",45.1813889,-113.8883333
"233","1119USBR_WQX-LOP104",46.42072,-116.80004
"234","1119USBR_WQX-LOP105",46.367,-116.7833
"235","1119USBR_WQX-LOP106",46.3662,-116.80397
"236","1119USBR_WQX-LOP107",46.33352,-116.83302
"237","1119USBR_WQX-LOP108",46.33336,-116.83337
"238","1119USBR_WQX-LOP109",46.28525,-116.8693
"239","1119USBR_WQX-LOP110",46.26,-116.83233
"240","1119USBR_WQX-LOP111",46.16134,-116.733
"241","1119USBR_WQX-LOP112",46.15066,-116.73377
"242","1119USBR_WQX-LOP113",46.24583,-116.246555
"243","1119USBR_WQX-LOP114",46.1652,-116.74102
"244","1119USBR_WQX-LOP118",46.19774,-116.83429
"245","1119USBR_WQX-LOP120",46.21014,-116.09886
"246","1119USBR_WQX-LOP121",46.1652,-116.74102
"247","1119USBR_WQX-LOP125",46.29807,-116.85567
"248","1119USBR_WQX-LOP127",46.33347,-116.83728
"249","1119USBR_WQX-LWD101",43.4225,-114.0252778
"250","1119USBR_WQX-MAL002",43.7378972,-118.0760194
"251","1119USBR_WQX-MAL003",44.0142167,-117.3946222
"252","1119USBR_WQX-MAL004",43.9753056,-117.2459111
"253","1119USBR_WQX-MAL005",43.9883278,-117.2295417
"254","1119USBR_WQX-MAL007",44.2017056,-117.4669417
"255","1119USBR_WQX-MAL011",43.9849389,-117.2234389
"256","1119USBR_WQX-MAL016",44.0436111,-117.0208333
"257","1119USBR_WQX-MAL103",43.8979889,-117.5062278
"258","1119USBR_WQX-MAL104",43.7769028,-117.7403972
"259","1119USBR_WQX-MAL106",43.9280556,-118.5588889
"260","1119USBR_WQX-MAL108",43.7856528,-118.3299778
"261","1119USBR_WQX-MAL109",43.85989,-118.53007
"262","1119USBR_WQX-MAL110",43.9075,-118.1525
"263","1119USBR_WQX-MAL111",43.5619861,-118.1947278
"264","1119USBR_WQX-MAL112",43.90875,-118.1512111
"265","1119USBR_WQX-MAL113",43.9484472,-118.1699528
"266","1119USBR_WQX-MAL114",44.23211,-118.39455
"267","1119USBR_WQX-MAL115",44.26555,-118.39455
"268","1119USBR_WQX-MAL116",44.00901,-118.69868
"269","1119USBR_WQX-MAL117",44.07945,-118.73518
"270","1119USBR_WQX-MAL118",43.97705,-118.78738
"271","1119USBR_WQX-MAL119",44.0072,-118.8304
"272","1119USBR_WQX-MAL120",44.02585,-117.4548556
"273","1119USBR_WQX-MAL124",44.12512,-116.964
"274","1119USBR_WQX-MAL125",44.33333,-116.9333
"275","1119USBR_WQX-MAL126",43.9842306,-117.7066583
"276","1119USBR_WQX-MAL127",44.17271,-116.92797
"277","1119USBR_WQX-MAL134",43.9766389,-117.6467528
"278","1119USBR_WQX-MAL140",44.0402528,-117.0194139
"279","1119USBR_WQX-MAL142",44.006325,-117.0849583
"280","1119USBR_WQX-MAL144",43.9423583,-117.2647028
"281","1119USBR_WQX-MAL146",43.8579583,-117.6077861
"282","1119USBR_WQX-MAL150",44.0617028,-117.2711694
"283","1119USBR_WQX-MAL158",43.7552278,-118.0827889
"284","1119USBR_WQX-MAL160",44.2934333,-117.551275
"285","1119USBR_WQX-MAL170",43.9413222,-118.1277111
"286","1119USBR_WQX-MAL172",43.9502778,-118.1744444
"287","1119USBR_WQX-MAL192",44.2297056,-117.4963389
"288","1119USBR_WQX-MAL194",43.8163889,-117.6588889
"289","1119USBR_WQX-MAL200",44.1756167,-116.9586833
"290","1119USBR_WQX-MAL202",44.0822833,-116.97935
"291","1119USBR_WQX-MAL218",43.67165,-117.0718167
"292","1119USBR_WQX-MAL226",43.61755,-116.9552333
"293","1119USBR_WQX-MAL230",43.58875,-116.911
"294","1119USBR_WQX-MAL242",44.2606483,-117.5290982
"295","1119USBR_WQX-MAL243",44.201515,-117.4579166
"296","1119USBR_WQX-MAL252",44.1344444,-117.3664527
"297","1119USBR_WQX-MAL262",44.00792,-117.11396
"298","1119USBR_WQX-MAL263",44.00817,-117.1169
"299","1119USBR_WQX-MAL264",44.00873,-117.11543
"300","1119USBR_WQX-MAL265",44.0078,-117.1151
"301","1119USBR_WQX-MAL266",44.1,-117.1
"302","1119USBR_WQX-MAL267",43.95216,-117.023666
"303","1119USBR_WQX-MAL268",43.952,-117.02356
"304","1119USBR_WQX-MAL273",43.65913,-117.064
"305","1119USBR_WQX-MAL274",43.6547,-117.06649
"306","1119USBR_WQX-MAL301",44.00053,-118.24477
"307","1119USBR_WQX-MAL321",43.57318,-117.27472
"308","1119USBR_WQX-MAL322",43.951,-117.36723
"309","1119USBR_WQX-MAL324",43.96499,-117.28812
"310","1119USBR_WQX-MAL328",44.04096,-117.16556
"311","1119USBR_WQX-MAL357",44.04626,-117.9929
"312","1119USBR_WQX-MAL382",44.13121,-116.96364
"313","1119USBR_WQX-MAN006",44.3905556,-116.8891667
"314","1119USBR_WQX-MIN101",44.1305556,-110.8191667
"315","1119USBR_WQX-MIN392",42.5248889,-113.6155556
"316","1119USBR_WQX-MIN393",42.5237649,-113.6672482
"317","1119USBR_WQX-MIN394",42.5170556,-113.7334167
"318","1119USBR_WQX-MIN396",42.5163611,-113.6975556
"319","1119USBR_WQX-MIN406",42.5129111,-113.6479444
"320","1119USBR_WQX-OWY007",43.5936861,-116.9103528
"321","1119USBR_WQX-OWY012",43.7852778,-117.0622222
"322","1119USBR_WQX-OWY101",43.6430556,-117.2444444
"323","1119USBR_WQX-OWY108",43.7371983,-117.1759999
"324","1119USBR_WQX-OWY110",43.7924983,-117.0406666
"325","1119USBR_WQX-OWY112",43.8088166,-117.0370499
"326","1119USBR_WQX-OWY120",43.4802306,-116.9228528
"327","1119USBR_WQX-OWY302",43.7914666,-117.0555166
"328","1119USBR_WQX-OWY304",43.7947166,-117.1277832
"329","1119USBR_WQX-OWY305",43.7910499,-117.1051666
"330","1119USBR_WQX-PAL101",43.3513889,-111.2152778
"331","1119USBR_WQX-POW101",44.67,-118
"332","1119USBR_WQX-POW112",44.8031194,-117.8308888
"333","1119USBR_WQX-POW114",44.8098333,-117.8302611
"334","1119USBR_WQX-POW116",44.8620277,-117.8326833
"335","1119USBR_WQX-POW120",45.0125,-117.7794444
"336","1119USBR_WQX-POW122",44.99427,-118.05603
"337","1119USBR_WQX-POW124",45.00639,-118.07282
"338","1119USBR_WQX-POW126",45.03675,-118.08985
"339","1119USBR_WQX-POW128",45.02069,-118.07492
"340","1119USBR_WQX-POW130",44.42844,-117.57578
"341","1119USBR_WQX-POW132",44.47009,-117.4902
"342","1119USBR_WQX-POW134",44.44592,-117.41176
"343","1119USBR_WQX-POW136",44.85416,-117.01393
"344","1119USBR_WQX-POW138",44.55608,-117.22621
"345","1119USBR_WQX-POW140",44.53407,-117.18505
"346","1119USBR_WQX-POW142",44.79289,-117.13661
"347","1119USBR_WQX-POW144",44.65172,-117.49332
"348","1119USBR_WQX-POW146",44.6512,-117.49215
"349","1119USBR_WQX-POW148",44.6512,-117.49215
"350","1119USBR_WQX-POW150",44.84269,-117.4347
"351","1119USBR_WQX-POW152",44.83856,-117.37718
"352","1119USBR_WQX-POW154",44.81019,-117.4432
"353","1119USBR_WQX-POW156",44.73546,-117.19716
"354","1119USBR_WQX-POW158",44.81985,-117.58964
"355","1119USBR_WQX-POW160",44.91719,-117.47616
"356","1119USBR_WQX-POW162",44.57779,-117.28065
"357","1119USBR_WQX-POW164",44.73288,-117.8845
"358","1119USBR_WQX-POW166",44.94137,-117.70809
"359","1119USBR_WQX-POW168",44.53865,-117.69674
"360","1119USBR_WQX-POW170",44.80807,-117.22172
"361","1119USBR_WQX-POW172",44.68368,-117.17068
"362","1119USBR_WQX-POW174",44.69434,-118.32228
"363","1119USBR_WQX-POW176",44.00196,-118.31487
"364","1119USBR_WQX-POW178",44.93435,-118.42547
"365","1119USBR_WQX-RCK101",42.433225,-114.29679
"366","1119USBR_WQX-RCK102",42.48868,-114.3989
"367","1119USBR_WQX-RCK103",42.566783,-114.49626
"368","1119USBR_WQX-RCK104",42.63028,-114.53685
"369","1119USBR_WQX-RCK105",42.15055,-114.15297
"370","1119USBR_WQX-RIR003",43.5416667,-111.7369444
"371","1119USBR_WQX-RIR104",43.5822222,-111.7430556
"372","1119USBR_WQX-ROG109",42.3778056,-122.3474167
"373","1119USBR_WQX-ROG110",42.21625,-122.3748056
"374","1119USBR_WQX-ROG120",42.1638889,-122.6038889
"375","1119USBR_WQX-ROG124",42.1715556,-122.4671944
"376","1119USBR_WQX-ROG125",42.41375,-122.7725833
"377","1119USBR_WQX-SKO103",41.9391666,-116.0538333
"378","1119USBR_WQX-TUL131",45.4472222,-123.175
"379","1119USBR_WQX-UMA116",45.6033333,-118.7980556
"380","1119USBR_WQX-UMA130",45.8602778,-119.1727778
"381","1119USBR_WQX-UMA132",45.62208,-118.83932
"382","1119USBR_WQX-UMA133",45.59686,-118.81358
"383","1119USBR_WQX-UMA134",45.54782,-118.79417
"384","1119USBR_WQX-UMA135",45.5077,-118.8159
"385","1119USBR_WQX-UMA136",46.52149,-118.8022
"386","1119USBR_WQX-UMA137",45.55136,-118.77277
"387","1119USBR_WQX-UMA138",45.52249,-118.77202
"388","1119USBR_WQX-WAL002",42.6708333,-113.4833333
"389","1119USBR_WQX-WAL101",42.6513316,-113.5688332
"390","1119USBR_WQX-WAL113",42.81,-112.9
"391","1119USBR_WQX-WAL114",42.72,-112.93397
"392","1119USBR_WQX-WAL115",42.652,-113.02
"393","1119USBR_WQX-WAL116",42.666,-113.0837
"394","1119USBR_WQX-WAL118",42.51625,-113.693
"395","1119USBR_WQX-WAL119",42.6,-113.263
"396","1119USBR_WQX-YAV022",46.9375,-120.4833333
"397","1119USBR_WQX-YAV082",46.37425,-120.22406
"398","1119USBR_WQX-YAV084",47.944,-119.883
"399","1119USBR_WQX-YAV087",46.2531944,-119.4781388
"400","1119USBR_WQX-YAV107",46.5711111,-120.5322222
"401","1119USBR_WQX-YAV110",46.27925,-119.53908
"402","1119USBR_WQX-YAV111",46.28423,-119.53598
"403","1119USBR_WQX-YAV139",46.2341667,-119.6838889
"404","1119USBR_WQX-YAV146",46.9266667,-120.5005556
"405","1119USBR_WQX-YAV156",46.9955556,-120.5897222
"406","1119USBR_WQX-YAV176",46.24224,-119.68112
"407","1119USBR_WQX-YAV179",46.23572,-119.69283
"408","1119USBR_WQX-YAV180",46.9077778,-120.3598611
"409","1119USBR_WQX-YAV181",47.08248,-120.74962
"410","1119USBR_WQX-YAV182",47.09201,-120.70793
"411","1119USBR_WQX-YAV183",47.0919283,-120.70808
"412","1119USBR_WQX-YAV184",47.01542,-120.6938
"413","1119USBR_WQX-YAV185",47.0297,-120.64945
"414","1119USBR_WQX-YAV186",46.97065,-120.67212
"415","1119USBR_WQX-YAV191",47.10312,-120.47517
"416","1119USBR_WQX-YAV192",46.93922,-120.50543
"417","1119USBR_WQX-YAV193",46.93968,-120.47538
"418","1119USBR_WQX-YAV194",47.04832,-120.36318
"419","1119USBR_WQX-YAV300",47.2419722,-121.1864444
"420","1119USBR_WQX-YAV303",46.91925,-120.3345833
"421","1119USBR_WQX-YAV312",46.53186,-120.68149
"422","1119USBR_WQX-YAV313",46.53186,-120.68149
"423","1119USBR_WQX-YAV314",46.30283,-120.13084
"424","1119USBR_WQX-YAV315",46.27792,-120.12626
"425","1119USBR_WQX-YAV316",46.28309,-120.10019
"426","1119USBR_WQX-YAV317",46.28292,-120.0971
"427","1119USBR_WQX-YAV326",47.0788056,-120.5039722
"428","1119USBR_WQX-YAV328",47.1077778,-120.5470278
"429","1119USBR_WQX-YAV330",47.1071111,-120.5877222
"430","1119USBR_WQX-YAV334",47.0736389,-120.4870556
"431","1119USBR_WQX-YAV336",47.0746667,-120.4945556
"432","1119USBR_WQX-YAV338",47.07375,-120.4718889
"433","1119USBR_WQX-YAV340",47.0578056,-120.4172222
"434","1119USBR_WQX-YAV342",47.0493611,-120.3810833
"435","1119USBR_WQX-YAV356",46.6920861,-120.4919027
"436","1119USBR_WQX-YAV367",46.3144444,-120.19825
"437","1119USBR_WQX-YAV374",46.5375,-120.4738888
"438","1119USBR_WQX-YAV376",46.33336,-120.05
"439","1119USBR_WQX-YAV377",46.13134,-120.05
"440","1119USBR_WQX-YAV378",46.52988,-120.68163
"441","1119USBR_WQX-YAV381",46.2771111,-120.2476111
"442","1119USBR_WQX-YAV382",46.3112222,-120.7875833
"443","1119USBR_WQX-YAV397",46.56436,-120.91611
"444","1119USBR_WQX-YAV398",46.52927,-120.77801
"445","1119USBR_WQX-YBO001",46.88,-121.2825
"446","1119USBR_WQX-YCE002",47.2444444,-121.0633333
"447","1119USBR_WQX-YKA001",47.2619444,-121.2022222
"448","1119USBR_WQX-YKE004",47.3213889,-121.3366667
"449","1119USBR_WQX-YRO003",46.665,-121.1216667
"450","11NPSWRD_WQX-AGFO_BK_1A",42.4231667,-103.7903056
"451","11NPSWRD_WQX-AGFO_BK_1B",42.4233056,-103.7911111
"452","11NPSWRD_WQX-AGFO_BK_2",42.4173611,-103.7586944
"453","11NPSWRD_WQX-AGFO_BK_3",42.4249167,-103.7296111
"454","11NPSWRD_WQX-AGFO_NGPN_N110",42.4272167,-103.7293833
"455","11NPSWRD_WQX-ALPO_L1_1",40.4533562,-78.5407646
"456","11NPSWRD_WQX-ALPO_L1_2",40.4333913,-78.5199436
"457","11NPSWRD_WQX-ALPO_L1_3",40.4327313,-78.5202508
"458","11NPSWRD_WQX-ALPO_L1_4",40.4327823,-78.5192705
"459","11NPSWRD_WQX-ALPO_L1_5",40.4191385,-78.4860649
"460","11NPSWRD_WQX-ALPO_L1_6",40.4159906,-78.4525592
"461","11NPSWRD_WQX-BADL_NGPN_S110",43.8898834,-102.4122833
