"ID","dis_m3_pyr","run_mm_cyr","rev_mc_usu","dor_pc_pva","ria_ha_csu","ele_mt_cav","slp_dg_cav","sgr_dk_rav","clz_cl_cmj","tmp_dc_cyr","pre_mm_cyr","aet_mm_cyr","ari_ix_cav","glc_cl_cmj","glc_pc_c01","glc_pc_c02","glc_pc_c03","glc_pc_c04","glc_pc_c05","glc_pc_c06","glc_pc_c07","glc_pc_c08","glc_pc_c09","glc_pc_c10","glc_pc_c11","glc_pc_c12","glc_pc_c13","glc_pc_c14","glc_pc_c15","glc_pc_c16","glc_pc_c17","glc_pc_c18","glc_pc_c19","glc_pc_c20","glc_pc_c21","glc_pc_c22","pnv_cl_cmj","pnv_pc_c01","pnv_pc_c02","pnv_pc_c03","pnv_pc_c04","pnv_pc_c05","pnv_pc_c06","pnv_pc_c07","pnv_pc_c08","pnv_pc_c09","pnv_pc_c10","pnv_pc_c11","pnv_pc_c12","pnv_pc_c13","pnv_pc_c14","pnv_pc_c15","for_pc_cse","crp_pc_cse","pst_pc_cse","ire_pc_cse","tbi_cl_cmj","tec_cl_cmj","fmh_cl_cmj","fec_cl_cmj","cly_pc_cav","slt_pc_cav","snd_pc_cav","soc_th_cav","lit_cl_cmj","kar_pc_cse","ero_kh_cav","ppd_pk_cav","urb_pc_cse","hft_ix_u09","name","Count","max_correlation","feature","category","abs_correlation"
"581558",-0.151887361605753,-0.254160698419716,-0.0840646789892556,-0.00301404403004903,-0.142840347282955,0.102286714973872,0.0318910452308101,-0.0505088180314646,0,-0.162452763895306,-0.234992751648133,-0.0399668618821469,-0.191719076839634,-0.00201481091288808,0,-0.0582748491780568,0,0,0,0.119325217525532,0,0,0,0,0,0,0,0,-0.0880570343066187,-0.0706804073616323,0,0.00641135353831106,0,0,0,-0.0813686556870375,0.073450371813533,0,0,0,-0.117770751173738,0,0,0,0.117770751173738,0,0,0,0,0,0,0,0.1099177235655,-0.228094726765657,-0.166534357112069,-0.196008134959044,0,0,0,0,-0.0728628109647986,-0.00832629504309915,0.0458134935338192,-0.0315020474539499,-0.0997915467174161,0,-0.213218323278504,-0.111225131188557,-0.0740714839482785,-0.145164447606279,"Saint John River",93,-0.254160698419716,"run_mm_cyr","Hydrology",0.254160698419716
"578079",0.069997694185621,0.00765131012089444,0.104819791606971,0.0559412255817285,-0.0587041313970623,0.000114910794042136,0.154638175170381,0.362603273825679,0,0.00488106608797248,0.0669960301773788,0.0130610137016931,0.0580422983982438,-0.277627901219302,0,-0.106063080618874,0,-0.104497954504021,0,0.357986685244982,0,0,0,0,-0.0533390160345564,0,0,0,0.0898024023152127,-0.0821115636182744,0,0,0,-0.327013271661142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327752997881423,-0.0437894323884117,0,0,0,0,0,0,-0.230758214188365,-0.129214641350453,0.194721902342432,0.285500324387982,-0.0154941765556552,-0.142093882701374,0.339167970747157,0.344244255608801,0,-0.0875099808004364,"West Branch Penobscot River",53,0.362603273825679,"sgr_dk_rav","Physiography",0.362603273825679
"569110",0.0918765650445393,-0.0187566644101093,0.0406234111187944,0.215608119348997,0.147916850122518,0.256328534394473,0.04413334521829,-0.142709659754492,0,-0.127816417758912,0.117595096188364,-0.430924686292698,0.545366272027988,0.00537136456735441,0,-0.173820940389224,0,0.268802154612881,0,0.106417424135077,0,0,0,0,0,0,0,0,-0.131619589718517,-0.0681277836464061,0,-0.145609147070341,0,0.473655724087947,0,-0.179512241999096,0.191558023680513,0,0,0,0,-0.218715326203717,0,0,0.218715326203717,0,0,0,0,0,0,0,-0.203479453702997,-0.119861925596271,-0.0383582225415093,0,0,0,0,0,-0.251059057074147,-0.444837581477828,0.448843668998263,0.313350238523476,0.145594039832806,-0.126607426185057,-0.314434159167008,-0.258093003101382,-0.116244094808212,-0.193604206227937,"Kennebec River",76,0.545366272027988,"ari_ix_cav","Climate",0.545366272027988
"580918",-0.0639745759485811,0.363134059689121,-0.130835243946942,-0.183061574388115,-0.169662439036123,0.0421337001142054,0.2068452007129,0.127322494535999,0,-0.0131819024485528,0.118299385680019,0.357803742049903,0.0629802887753779,0.112563977472506,0,-0.0702921249597433,0,0,0,0.0669137111576921,0,0,-0.104311669326135,0,-0.0479232202863328,0,-0.0479232202863328,0,-0.112219939768039,-0.163058473634459,0,0.0412742635367639,0,0.237146383386383,0,-0.179664393736147,0.0495183169423576,0,0,0,0,-0.0362920496988706,0,0,0.0362920496988706,0,0,0,0,0,0,0,-0.0195123208475931,-0.0484216007171703,-0.156560875086893,-0.126330822411225,0,0,0,0,-0.0389499894896807,-0.163206616370583,0.123807965636535,-0.0281496664810711,0.371996962161105,-0.110676407494426,0.299113189207167,-0.158069088274656,-0.14127733097065,0.011377162754645,"Androscoggin River",97,0.371996962161105,"lit_cl_cmj","Soils & Geology",0.371996962161105
"619363",-0.0224566822112015,-0.259219903140525,0.0215637687096187,0.130832697174055,0.0631907233037129,0.161933423486158,-0.101282788854727,0.0197326507500929,-0.268234098711281,-0.242653551372837,-0.217277404075418,-0.408627331924292,-0.15425424134291,0.00109003205610361,0,-0.247819882350898,0,0.223955754954267,0,0.244384761615533,0,0,0.025440005127234,0,-0.0949010792240891,0,0.201311385454521,0,-0.167968474075519,0.00653966436181136,0,0.157653246243507,0,0.219568828224278,0,-0.169739598900421,0.228833478700734,0,0,0,0,-0.288261933682236,0,0,0.288261933682236,0,0,0,0,0,0,0,-0.00574460797426973,0.330486227050594,0.406819842436626,-0.369905129182575,0,0.181181849628308,0,0,0.365118802766764,0.267067531503389,-0.276131254658581,0.379802767258144,0.183370370746261,0,0.367575908091953,-0.178226960452893,-0.187179014379549,-0.251674986355726,"Merrimack River",76,-0.408627331924292,"aet_mm_cyr","Climate",0.408627331924292
"206425",0.154205910425814,0.388387951702787,0.248760651120774,0.262121930403273,0.0125292623169078,-0.160635469608298,-0.281934463767643,-0.18397600751817,0.258008577239207,0.249695162068779,0.388477842762042,0.301491149576752,0.418529966087307,0.111561527062768,0,-0.120796627902557,0,0.153332378242915,0,0.0331023714899693,0,0,0,0,0,0,0,0,-0.0353196387402426,0.0944283448822474,0,0.0157428614231129,0,-0.144911251321438,0,0.0794645248446709,0.253127999026611,0,0,0,0,-0.277349513272368,0,0,0.277349513272368,0,0,0,0,0,0,0,-0.0739557692926349,-0.0829049013102153,-0.446226754493904,0.195037398074901,0,0.270904862349024,0,0,-0.26337931534644,-0.302513964244748,0.27931210568791,-0.0903340533626093,-8.11966417122233e-05,-0.174956700515738,-0.127575753493015,0.056680090289489,0.0968492134355666,0.220701789790275,"Connecticut River",201,-0.446226754493904,"pst_pc_cse","Landcover",0.446226754493904
"970226",0.653939075507689,0.616501380801601,0.549720958477194,-0.246103878268834,0.307421594172216,-0.38908157743041,0.0336139699197494,-0.23096437932348,0.730813505821726,0.628585055659895,0.514877921064294,0.760307124749065,0.0413155890495691,0.0537551428639195,0,-0.12016625327234,0,0.30803204122725,0,-0.140513759877768,0,0,-0.0238057551662532,0,-0.175550583683786,0,0,0,-0.11587636861144,-0.342925190911597,0,-0.200896155608202,0,0.399280864517325,0,0.205058774584397,0.0551131579108729,0,0,0,0.00695222596144436,0.0613579513707803,0,0,-0.0699381655400239,0,-0.0193906175416904,0,0,0,0,0,-0.129606984088884,-0.278914918511886,0.0157120213600736,0.111654598750627,0,0.0790814478094792,0,0,-0.0364452559918631,-0.0753468109209942,-0.108287918924162,-0.168745497982064,-0.312685328751589,0.516360512098105,0.283856672821425,0.0336158902162294,0.13813324250589,0.536038592532811,"Hudson River",140,0.760307124749065,"aet_mm_cyr","Climate",0.760307124749065
"970360",-0.115204003954855,0.0753745638440162,-0.0569794030296263,0.0982529932278623,-0.0579615565837985,-0.265360066600069,-0.304064471920641,-0.144141759525227,0.100288156123174,0.224059871174939,-0.0829114458217331,0.0757154594067463,-0.125861561397382,0.298332387069186,0,-0.187924625615783,0,0.0769710715051957,0,0.15757553107465,0,0,0.188546481037624,0,0,0,0.340907936889024,0,0.0492269291290532,-0.0896144109561923,0,0.0729888378414658,0,0,0,0.299391223910959,0.151192047357955,0,0,0,0,-0.151192047357955,0,0,0.151192047357955,0,0,0,0,0,0,0,-0.158411441540635,-0.34960622115994,-0.301706001679101,0.17926988035457,0,0.169044299431318,0,0,-0.425988817307886,-0.361851740895205,0.406695903984389,0.24934055763089,-0.0904978984646455,-0.374425878234224,-0.329521380002418,0.154928585011383,0.230660392432176,0.296228758345736,"Mohawk River",76,-0.425988817307886,"cly_pc_cav","Anthropogenic",0.425988817307886
"217887",0.280260266446747,-0.135935284452954,-0.0294936096207612,-0.569979730111757,-0.151596980226012,-0.670009983519752,-0.708261609238961,-0.228551169799581,0.580903674481662,0.745861912103333,-0.175023989411195,0.353940346482208,-0.764532249078758,0.761578736660934,0,-0.735949753885965,0,0.308123270403322,0,0.0328901262772431,0,0,0,0,0.0489612443102613,0,0.240421776963897,0.175734609495802,0,0.27336396991671,0,0,0,0.44686316721924,0,0.671334930620929,-0.300713325854793,0,0,0,0.367141629685128,-0.369629911216913,0,0,0.139707211825624,0,0,0,0,0,0,0,-0.772098383411722,0.0680507475294806,-0.280766164114824,0.430710284054731,0.793274416680638,0.803093415213165,0,0,-0.173588532464519,-0.2085982036614,-0.116737012751459,-0.231507706528727,-0.263582395312697,-0.293570726737268,-0.108449489780938,0.484576306074666,0.592806682803682,0.715223025965483,"Delaware River",157,0.803093415213165,"tec_cl_cmj","Landcover",0.803093415213165
"1193302",0.611157335706499,0.2862224344512,0.38645441839887,-0.0191403524232907,0.423177459717964,-0.503525695307321,-0.182207245279833,-0.270030787828556,0.871083638754388,0.7385868267534,-0.055413788849236,0.000453280105684138,-0.0611394084831339,0.709521591642967,0,-0.629720562964437,0,-0.350263183490013,0,-0.106313054895526,0,0,0,0,0,0,-0.0518904445484847,0,0,-0.286986870856427,0,0,0,0.127870062843799,0,0.759332133421063,0.298880514841587,0,0,0,0,-0.419640523735881,0,0,0.419640523735881,0,0,0,0,0,0,0,-0.695792733724367,-0.493887931502306,-0.493690678475964,-0.00147770635847418,0.344361713876493,0.389345043074136,0,0,-0.237486203825427,-0.813248578827779,0.77959492075129,0.0650584453984593,-0.478073824517203,-0.099009651886297,-0.431876482728848,0.46440924701871,0.505991330816772,0.209409418450627,"Schuylkill River",48,0.871083638754388,"clz_cl_cmj","Climate",0.871083638754388
